21,21,17,21,21,21,17,21,21,21,18,21,21,21,16,16,16,21,21,21
16,16,19,21,20,18,21,16,16,21,0,1,1,1,1,1,1,1,3,16
21,21,19,21,20,18,21,19,21,0,2,23,7,7,7,7,22,7,9,16
20,20,16,16,20,16,21,19,0,2,7,23,15,4,7,7,7,7,9,21
21,18,21,17,21,21,21,0,2,7,7,22,9,21,17,21,21,7,9,21
21,21,19,21,19,21,0,2,22,22,7,22,9,18,17,19,6,7,9,21
21,18,17,21,21,21,6,7,7,7,23,7,9,20,20,21,6,23,9,21
21,18,21,21,21,0,22,23,23,7,7,8,9,21,18,21,6,7,9,21
21,21,21,0,1,2,22,7,7,7,22,10,15,20,18,0,2,22,9,21
18,0,1,2,23,7,7,7,13,14,22,9,21,17,21,6,7,7,15,21
21,6,23,7,10,13,13,15,21,12,14,7,1,1,1,23,7,15,21,16
21,6,22,15,21,21,18,21,18,21,12,14,7,7,7,7,15,18,18,16
18,6,7,3,21,16,19,19,18,18,17,12,13,13,13,15,18,18,20,21
18,6,23,9,18,18,21,20,20,21,16,16,21,21,18,21,18,21,16,21
21,12,13,15,21,21,21,20,21,21,21,17,21,21,21,20,21,17,21,21
